362,Teripang Oler,ikan_362.webp,K
363,Teripang Olok-Olok,ikan_363.webp,K
365,Teripang Putih,ikan_365.webp,K
366,Teripang Bilalo Batik,ikan_366.webp,K
367,Teripang Bilalo,ikan_367.webp,K
368,Teripang Nanas Bercak Hitam,ikan_368.webp,K
369,Teripang Batu,ikan_369.webp,K
370,Teripang Sabuk Raja,ikan_370.webp,K
371,Teripang Susuan,ikan_371.webp,K
372,Teripang,ikan_372.webp,K
373,Teripang Gama,ikan_373.webp,K
374,Teripang Kasur,ikan_374.webp,K
375,Teripang Olok-Olok,ikan_375.webp,K
376,Teripang Pasir,ikan_376.webp,K
377,Teripang Keling,ikan_377.webp,K
378,Rajungan,ikan_378.webp,K
379,Kepiting Bakau,ikan_379.webp,K
380,Kerang Darah,ikan_380.webp,K
381,Kerang Hijau,ikan_381.webp,K
382,Remis,ikan_382.webp,K
385,Penyu Hijau,ikan_385.webp,E
386,Penyu Lumpur,ikan_386.webp,E
387,Penyu Punggung,ikan_387.webp,E
388,Penyu Anjing,ikan_388.webp,E
389,Penyu Belimbing,ikan_389.webp,E
390,Penyu Sisik,ikan_390.webp,E
391,Penyu Belimbing,ikan_391.webp,E
392,Lola,ikan_392.webp,K
393,Penyu Hijau,ikan_393.webp,E
394,Peperek,ikan_394.webp,K
396,Peperek Bondolan,ikan_396.webp,K
397,Udang Lurik,ikan_397.webp,K
398,Udang Raja,ikan_398.webp,K
399,Udang Harimau,ikan_399.webp,K
400,Udang Bago,ikan_400.webp,K
401,Peperek Bondolan,ikan_401.webp,K
402,Udang Wangkang,ikan_402.webp,K
403,Udang Kelong,ikan_403.webp,K
404,Udang Jerbung,ikan_404.png,K
405,Peperek Topang,ikan_405.webp,K
406,Kepiting Plongkor,ikan_406.webp,K
408,Kerapu Merah Keunguan,ikan_408.webp,K
409,Rajungan,ikan_409.webp,K
410,Balong Abu-Abu Totol-Totol Putih,ikan_410.webp,K
411,Lobster Kipas,ikan_411.webp,K
412,Udang Pantung,ikan_412.webp,K
413,Udang Jaka,ikan_413.webp,K
414,Udang Jarak,ikan_414.webp,K
415,Udang Bunga,ikan_415.webp,K
416,Udang Cemara,ikan_416.webp,K
417,Udang Pasir,ikan_417.webp,K
418,Udang Jambret,ikan_418.webp,K
419,Udang Barong,ikan_419.png,K
420,Udang Windu,ikan_420.png,K
421,Peperek China,ikan_421.webp,K
422,Udang Raja Ceplok Merah,ikan_422.webp,K
423,Udang Krosok,ikan_423.webp,K
424,Udang Krosok Kuning,ikan_424.webp,K
425,Udang Krosok Belang,ikan_425.webp,K
426,Udang Lemah,ikan_426.png,K
427,Udang Tajam,ikan_427.webp,K
428,Ketamba,ikan_428.webp,K
429,Udang Krosok Merah,ikan_429.png,K
430,Udang Krosok Apollo,ikan_430.webp,K
431,Udang Cendana,ikan_431.png,K
432,Udang Dogol,ikan_432.webp,K
433,Udang Windu,ikan_433.webp,K
434,Ikan Lemah,ikan_434.webp,K
435,Udang Kapur,ikan_435.webp,K
436,Udang Dogol,ikan_436.webp,K
437,Udang Dogol,ikan_437.webp,K
438,Udang Aloha,ikan_438.webp,K
439,Udang Harimau,ikan_439.webp,K
440,Udang Api-Api,ikan_440.webp,K
441,Udang Dogol,ikan_441.png,K
442,Gurita,ikan_442.webp,K
443,Sotong,ikan_443.webp,K
444,Cumi-Cumi,ikan_444.webp,K
445,Ubur-Ubur,ikan_445.webp,E
446,Nuri-Nuri,ikan_446.webp,K
447,Burung Albatros Hitam,ikan_447.webp,K
448,Burung Albatros Kaki Hitam,ikan_448.webp,K
449,Burung Albatros Ekor Pendek,ikan_449.webp,K
450,Burung Albatross Laysan,ikan_450.webp,K
451,Napoleon Maori,ikan_451.webp,K
452,Burung Boby Bertopeng,ikan_452.png,K
453,Burung Boby Berkaki Merah,ikan_453.webp,K
454,Burung Boby Coklat,ikan_454.webp,K
455,Kakap,ikan_455.webp,K
456,Burung Pergat,ikan_456.png,K
457,Burung Tropis Ekor Putih,ikan_457.webp,K
458,Nuri-Nuri,ikan_458.webp,K
459,Kakap Lodi,ikan_459.webp,K
460,Gerot-Gerot,ikan_460.webp,K
461,Swanggi,ikan_461.webp,K
462,Gulamah,ikan_462.webp,K
463,Ikan Kakatua,ikan_463.webp,K
464,Ikan Kakatua,ikan_464.webp,K
465,Gulamah,ikan_465.webp,K
466,Gelik,ikan_466.webp,K
467,Kerapu,ikan_467.webp,K
468,Behung Piba,ikan_468.webp,K
469,Kerapu,ikan_469.webp,K
470,Cipa-Cipa Besar,ikan_470.webp,K
471,Barakuda,ikan_471.webp,K
472,Beloso,ikan_472.webp,K
473,Ikan Setan,ikan_473.webp,K
474,Alu-Alu,ikan_474.webp,K
475,Manyung,ikan_475.webp,K
476,Pisang-Pisang Merah,ikan_476.webp,K
477,Selanget,ikan_477.webp,K
478,Gulamah,ikan_478.webp,K
479,Kerisi,ikan_479.webp,K
480,Kerisi,ikan_480.webp,K
482,Pasir-Pasir,ikan_482.webp,K
483,Kerapu Batu,ikan_483.webp,K
484,Kerapu,ikan_484.webp,K
485,Gerot-Gerot,ikan_485.webp,K
486,Matahari,ikan_486.webp,K
487,Peperek,ikan_487.webp,K
488,Kakap Batu,ikan_488.webp,K
489,Biji Nangka Karang,ikan_489.webp,K
490,Biji Nangka Karang,ikan_490.webp,K
491,Biji Nangka,ikan_491.webp,K
492,Biji Nangka,ikan_492.webp,K
493,Kurisi,ikan_493.webp,K
494,Kerisi,ikan_494.webp,K
495,Kerisi,ikan_495.webp,K
496,Kambing-Kambing,ikan_496.webp,K
497,Kambing-Kambing Ungu,ikan_497.webp,K
498,Pasir-Pasir,ikan_498.webp,K
499,Pasir-Pasir,ikan_499.webp,K
500,Pasir-Pasir,ikan_500.webp,K
501,Kerisi,ikan_501.webp,K
502,Kerisi,ikan_502.webp,K
503,Kuwe,ikan_503.webp,K
504,Kuwe,ikan_504.png,K
505,Pilok,ikan_505.webp,K
506,Teripang Sabuk Raja,ikan_506.webp,K
507,Teripang Oler,ikan_507.webp,K
508,Teripang Oler,ikan_508.webp,K
509,Teripang Sabuk Raja,ikan_509.webp,K
511,Teripang Oler,ikan_511.webp,K
512,Teripang Oler,ikan_512.webp,K
513,Teripang Getah,ikan_513.webp,K
514,Teripang Gama,ikan_514.webp,K
515,Teripang Susuan,ikan_515.webp,K
516,Cucut Lanjam,ikan_516.webp,E
517,Cucut Lanjam,ikan_517.webp,E
518,Cucut Lanjam,ikan_518.png,E
519,Cucut Botol,ikan_519.webp,E
522,Lumba-Lumba Fraser,ikan_522.webp,E
523,Udang Krosok Kuning,ikan_523.webp,K
524,Udang Krosok,ikan_524.png,K
525,Udang Krosok,ikan_525.webp,K
526,Udang Dogol,ikan_526.webp,K
527,Burung Tropis Ekor Merah,ikan_527.png,K
528,Burung Pergat Lesser,ikan_528.png,K
529,Burung Cikalang,ikan_529.png,K
530,Burung Boby Abbott,ikan_530.png,K
531,Bulu Babi,ikan_531.png,K
532,Tiram,ikan_532.webp,K
533,Simping,ikan_533.webp,K
534,Kakap Kuning,ikan_534.webp,K
2190,Hiu Lanjam,ikan_2190.webp,E
4010,Udang Air Payau,ikan_4010.png,K
10203,Teripang Sabuk Raja,ikan_10203.webp,K
10216,Kwe Caudal Hitam,ikan_10216.webp,K
10219,Semar,ikan_10219.webp,K
10220,Ikan Ayam-Ayam,ikan_10220.webp,K
10221,Buntal Karang,ikan_10221.webp,K
10222,Buntal Karang,ikan_10222.webp,K
10223,Biji Nangka,ikan_10223.webp,K
10225,Nike,ikan_10225.webp,K
10226,Ikan Jaket,ikan_10226.webp,K
10227,Gulamah,ikan_10227.webp,K
10229,Opah,ikan_10229.webp,K
10232,Kaci-Kaci,ikan_10232.webp,K
10233,Aesi,ikan_10233.webp,K
10234,Teri,ikan_10234.webp,K
10236,Anak Raja Bau,ikan_10236.webp,K
10237,Cumi-Cumi,ikan_10237.webp,K
10240,Udang Mantis,ikan_10240.webp,K
10241,Sotong,ikan_10241.webp,K
10242,Sotong,ikan_10242.webp,K
10243,Biji Nangka,ikan_10243.webp,K
10245,Udang Bintik Merah,ikan_10245.webp,K
10247,Gurita,ikan_10247.webp,K
10248,Arwana,ikan_10248.webp,K
10249,Baung,ikan_10249.webp,K
10250,Belida,ikan_10250.webp,K
10251,Bentilap,ikan_10251.webp,K
